episode,description,rating,number of votes,air date,Season,Episode,Title
S6.E39 ∙ Be Sweet,A fed up Lumpy Space Princess leaves the woods for a glamorous career in babysitting.,7.2,1.3K,"Tue, Jun 2, 2015",6,39,Be Sweet
S6.E40 ∙ Orgalorg,Gunther experiences strange visions following a walrus race accident.,8.7,1.5K,"Wed, Jun 3, 2015",6,40,Orgalorg
S6.E41 ∙ On the Lam,"Finn's father, Martin the Human, fights for freedom on a new planet.",7.3,1.3K,"Thu, Jun 4, 2015",6,41,On the Lam
S6.E42 ∙ Hot Diggity Doom,Princess Bubblegum's attention is diverted by a mysterious presence in the sky.,8.2,1.4K,"Fri, Jun 5, 2015",6,42,Hot Diggity Doom
S6.E43 ∙ The Comet,"Finn, Jake, and Orgalorg converge with the comet and meet their destiny.",9.1,1.6K,"Fri, Jun 5, 2015",6,43,The Comet
S7.E1 ∙ Bonnie & Neddy,"The greed of the King of Ooo leads to a crisis in the Candy Kingdom, and (ex-) Princess Bubblegum has to return briefly from exile to deal with it.",7.8,1.4K,"Mon, Nov 2, 2015",7,1,Bonnie & Neddy
S7.E2 ∙ Varmints,Marceline and Bubblegum rekindle an old friendship while fighting off some varmints.,8.6,1.5K,"Tue, Nov 3, 2015",7,2,Varmints
S7.E3 ∙ Cherry Cream Soda,The arrival of a visitor causes Cherry Cream Soda's life to fall flat.,7.5,1.3K,"Wed, Nov 4, 2015",7,3,Cherry Cream Soda
S7.E4 ∙ Mama Said,Finn and Jake's loyalty is questioned when King of Ooo sends the duo on a mission to catch flying mushrooms.,7.3,1.3K,"Thu, Nov 5, 2015",7,4,Mama Said
S7.E5 ∙ Football,"BMO switches places with his reflection, Football.",8.1,1.4K,"Fri, Nov 6, 2015",7,5,Football
S7.E6 ∙ Stakes Part 1: Marceline the Vampire Queen,Finn and Jake hunt a shadowy predator and Marceline asks Princess Bubblegum for a favor.,9.0,1.6K,"Mon, Nov 16, 2015",7,6,Stakes Part 1: Marceline the Vampire Queen
S7.E7 ∙ Stakes Part 2: Everything Stays,"As the sun rises on her last day, Marceline recalls her long extraordinary life.",9.3,1.7K,"Mon, Nov 16, 2015",7,7,Stakes Part 2: Everything Stays
S7.E8 ∙ Stakes Part 3: Vamps About,Five foes from Marceline's past come back to cause trouble for the land of Ooo.,9.0,1.5K,"Tue, Nov 17, 2015",7,8,Stakes Part 3: Vamps About
S7.E9 ∙ Stakes Part 4: The Empress Eyes,The empress seeks her revenge and uses the Ice King as her puppet. Marceline retaliates and gets her own vengeance.,8.8,1.5K,"Tue, Nov 17, 2015",7,9,Stakes Part 4: The Empress Eyes
